"src","trg","Label","explanation"
"KPPPA bekerjasama dengan 9 PTAI di Indonesia","KPPPA bekerja sama dengan 9 PTAI di Indonesia","Morfologi (penulisan kata)","""bekerjasama"" seharusnya ditulis ""bekerja sama"" karena merupakan dua kata terpisah.."
"SIAPA YANG MELAYANI ?","SIAPA YANG MELAYANI?","Sintaksis (tanda baca)","Spasi tidak seharusnya berada sebelum tanda tanya."
"Anak, Orangtua, Dan Calon Orangtua","Anak, Orang tua, dan Calon Orang tua","Morfologi (penulisan kata) ","Kesalahan pada penggabungan ""orangtua"" menjadi ""orang tua"" dan penggunaan huruf kapital pada kata hubung ""dan""."
"Mengurangi resiko kecelakaan lalu lintas bagi pelajar","Mengurangi risiko kecelakaan lalu lintas bagi pelajar","Morfologi (penulisan kata)","Kata ""resiko"" salah ejaan sesuai KBBI, seharusnya ""risiko""."
"Pada suatu hari Beliau KYAI UMAR SHODIQ kedatangan...","Pada suatu hari beliau Kyai Umar Shodiq kedatangan...","Morfologi (penulisan kata)","Penggunaan huruf kapital tidak sesuai. ""Beliau"" dan ""Kyai Umar Shodiq"" tidak seluruhnya menggunakan huruf kapital."
"Jika membahas tentang Kabupaten Ponorogo maka yang sejarah yang sering dibicarakan...","Jika membahas tentang Kabupaten Ponorogo maka sejarah yang sering dibicarakan...","Sintaksis (frasa)","Frasa ""yang sejarah yang"" adalah pemborosan yang membuat kalimat sulit dipahami."
"...tersebut Dukuh Karangtalok; Dijumpai banyak...","...tersebut Dukuh Karangtalok, dijumpai banyak...","Sintaksis (tanda baca)","Penggunaan tanda titik koma (;) salah karena harusnya menggunakan tanda koma (,), serta huruf kapital di tengah kalimat tidak sesuai aturan."
"Salah satunya makam Kiai Ageng Umar Shodiq...","Salah satunya makam Kyai Ageng Umar Shodiq...","Morfologi (penulisan kata)","Kata ""Kiai"" salah eja sesuai KBBI, yang benar adalah ""Kyai""."
".... untuk membuka lahan. sebelum ke Babadan...",".... untuk membuka lahan sebelum ke Babadan...","Sintaksis (tanda baca)","Penggunaan tanda titik di tengah kalimat tidak perlu karena menyebabkan kalimat menjadi terputus."
"Kesalahan-kelasahan penggunanaan tata bahasa pada mahasiswa...","Kesalahan-kesalahan penggunaan tata bahasa pada mahasiswa...","Morfologi (penulisan kata)","Terdapat kesalahan ketik pada kata ""kelasahan"" yang seharusnya ""kesalahan"", serta ""penggunanaan"" yang seharusnya ""penggunaan""."
"Fonem n dan m pada kata Bandung menjadi Mbandung","Fonem /n/ dan /m/ pada kata Bandung menjadi Mbandung","Fonologi (penggunaan huruf)","Fonem harus ditulis menggunakan tanda garis miring untuk menandakan lambang fonetik."
"Pada penelitian ini menggunakan metode kualitatif","Penelitian ini menggunakan metode kualitatif","Sintaksis (kalimat)","Penggunaan kata ""pada"" di awal kalimat aktif membuat struktur kalimat menjadi kurang efektif dan redundan."
"Dari pukul 07.00 sampai 09.00","Dari jam 07.00 sampai 09.00","Semantik (diksi)","Kata ""pukul"" tidak tepat digunakan untuk menunjukkan rentang waktu. Kata ""jam"" lebih sesuai dalam konteks ini."
"Modul disusun agar mahasiswa dapat menyelesaikan modul itu secara individu","Modul ini disusun agar mahasiswa dapat menyelesaikannya secara individu","Sintaksis (frasa)","Kata ""modul itu"" diganti dengan ""modul ini"" agar lebih spesifik, dan ""menyelesaikan modul itu"" diganti menjadi ""menyelesaikannya"" untuk menghindari pengulangan yang tidak perlu."
"Nilai tiap kriteria penilaian SB= 4, B= 3, KB= 2, SKB= 1","Nilai tiap kriteria penilaian: SB = 4, B = 3, KB = 2, SKB = 1","Sintaksis (tanda baca)","Tanda sama dengan (=) seharusnya diberi spasi, dan titik di akhir kalimat dihilangkan karena sudah menggunakan tanda titik dua (:)."
"Modul ini menyajikan materi yang smart, konsisten, dan dinamis","Modul ini menyajikan materi yang cerdas, konsisten, dan dinamis","Semantik (pengaruh bahasa asing)","Kata ""smart"" diganti menjadi ""cerdas"" karena ada padanan dalam bahasa Indonesia yang lebih sesuai."
"Kesalahan tersebut dinilai lebih modern dan bergengsi ketiga kesalahan yang terjadi...","Kesalahan tersebut dinilai lebih modern dan bergengsi. Ketiga, kesalahan yang terjadi...","Sintaksis (kalimat)","Kalimat tidak menggunakan tanda baca yang benar, sehingga makna terpotong dan sulit dipahami."
"Proses pembelajaran bahasa Indonesia adalah kompleks. Sehingga tidak hanya...","Proses pembelajaran bahasa Indonesia adalah kompleks, sehingga tidak hanya...","Sintaksis (kalimat)","Kata ""Sehingga"" tidak boleh digunakan di awal kalimat. Sebaiknya digabung dengan kalimat sebelumnya menggunakan tanda koma (,)."
"Kesalahan yang terjadi pada kata praktek adalah salah","Kesalahan yang terjadi pada kata praktek adalah salah.","Morfologi (penulisan kata)","Kata ""praktek"" tidak baku, seharusnya ""praktik"". Selain itu, kata yang dikutip seharusnya ditandai dengan tanda petik (""..."")."
",,,","","",""
"...menggunakan statistik, tetapi melalui pengumpulan data, analisis, kemudian...","...menggunakan statistik tetapi melalui pengumpulan data, analisis, kemudian...","sintaksis (konjungsi)","Tanda koma (,) setelah ""statistik"" tidak diperlukan karena ""tetapi"" tidak memisahkan dua klausa independen."
"...proses belajar mengajar (Arifin, 2008:57).","...proses belajar mengajar (Arifin, 2008:57).","Penulisan Kutipan","Tidak ada kesalahan pada kalimat ini; termasuk dalam dokumen sebagai kalimat acuan benar."
"Para pedagang hingga papan nama Pemerintah...","Para pedagang hingga papan nama pemerintah...","EYD (penggunaan huruf)","Kata ""Pemerintah"" tidak memerlukan huruf kapital karena bukan nama diri atau lembaga spesifik."
"Kesalahan-kesalahan yang ditemukan peneliti terdapat di jalan Soekarno Hatta","Kesalahan-kesalahan yang ditemukan peneliti terdapat di Jalan Soekarno Hatta","EYD (penggunaan huruf)","Kata ""jalan"" seharusnya ditulis ""Jalan"" karena merupakan bagian dari nama jalan resmi."
"Assalamualaikum Ibuk mau nanya kalok besok ngumpulinya gimana yak soalnya aq baru ada acara pernikaha saudara","Assalamualaikum Ibu, mau bertanya, kalau besok mengumpulkannya bagaimana ya? Soalnya saya baru ada acara pernikahan saudara","Fonologi (perubahan fonem), Morfologi (pembentukan kata), sintaksis (kalimat tanya), EYD (tanda baca)","Kesalahan pad afonologi (""kalok"", ""aq""), morfologi (""ngumpulinya""), sintaksis (""kalok besok ngumpulinya gimana yak?""), dan EYD (""Ibuk"", serta tanda baca yang kurang)."
"Selamat siang Bu, ini Yoannes Arief. Nanti ad waktu tidak ya Bu","Selamat siang, Bu. Ini Yoannes Arief. Apakah ada waktu nanti, Bu?","Fonologi (penghilangan fonem), Morfologi (pembentukan kata), Sintaksis (kalimat tanya), EYD (tanda baca)","Penghilangan fonem pada kata ""ad"" (seharusnya ""ada""), kesalahan dalam pembentukan kalimat tanya ""Nanti ad waktu tidak ya Bu"" (seharusnya ""Apakah ada waktu nanti, Bu?""), serta penggunaan tanda baca yang tidak sesuai, yaitu kurangnya koma setelah ""siang"" dan ""ya"", serta titik setelah ""Bu""."
"Selamat malam,bu.ini mas amin.bu,untuk ujian semantik, besok open book apa tidak? terimakasih","Selamat malam, Bu. Ini Mas Amin. Bu, untuk ujian semantik, apakah besok open book atau tidak? Terima kasih.","Fonologi (penghilangan fonem), morfologi (kata majemuk), sintaksis (kalimat), EYD (tanda baca) ","Penghilangan fonem pada ""terimakasih"" yang seharusnya ""terima kasih"", penggunaan kata majemuk ""open book"" yang sebaiknya disesuaikan dengan padanan bahasa Indonesia, struktur kalimat yang kurang jelas, serta kesalahan tanda baca dan kapitalisasi seperti ""bu"" yang seharusnya ""Bu""."
"Bu mau nanya bole g bu???","Bu, mau bertanya, bolehkah, Bu?","Fonologi (penghilangan fonem), morfologi (pembentukan kata), sintaksis (kalimat), EYD (ejaan dan tanda baca)","Kalimat Bu mau nanya bole g bu??? mengalami penghilangan fonem pada kata bole g yang seharusnya bolehkah, kesalahan morfologi pada kata nanya yang seharusnya bertanya, serta kesalahan sintaksis dalam penyusunan kalimat, selain itu terdapat kesalahan ejaan dan tanda baca, seperti penggunaan bukkkk yang tidak sesuai, tanda baca berlebihan (???), serta kurangnya koma setelah kata ""Bu""."
".... oke bukkkk terimakasih",".... Oke, Bu. Terima kasih.","EYD (penulisan kata)","Penulisan ""bukkkk"" tidak formal (seharusnya Bu), serta terimakasih harus ditulis terpisah menjadi terima kasih sesuai PUEBI"
"Saya kan belajar ttg cara menulis daftar pustaka kan bu","Saya sedang belajar tentang cara menulis daftar pustaka, Bu.","Sintaksis (Struktur Kalimat), Morfologi (Penulisan Kata)","Singkatan ""ttg"" tidak baku (→ tentang), penggunaan struktur kalimat informal dalam konteks resmi tidak sesuai."
"Slmt sore pak...mau nanya pak nilaiku kurangnya di mna bapak??","Selamat sore, Pak. Saya mau bertanya, Pak, kekurangan nilai saya di mana, Bapak?","Sintaksis (Struktur Kalimat), Morfologi (Penulisan Kata)","Kesalahan singkatan (Slmt → Selamat), penggunaan tanda baca tidak sesuai, serta struktur kalimat yang kurang formal."
"Pak mau nanya pak napa nilai saya C pak????","Pak, saya mau bertanya, mengapa nilai saya C, Pak?","Morfologi (Penulisan Kata), Sintaksis (Struktur Kalimat, Kongruensi)","Penulisan ""napa"" tidak baku (→ mengapa) dan penggunaan tanda tanya berlebihan."
"Lokasi tujuan mudik yang disediakan Polres Bogor adalah Cilacap dan Brebes, Jawa Tengah (Jateng). Bagi masyarakat yang memiliki rute tujuan lokasi tersebut, bisa mengikutinya.","Lokasi tujuan mudik yang disediakan Polres Bogor adalah Cilacap dan Brebes, Jawa Tengah (Jateng). Masyarakat yang memiliki rute tujuan lokasi tersebut bisa mengikutinya.","Sintaksis (Struktur Kalimat)","Subjek ""masyarakat"" hilang (pelesapan subjek) karena penggunaan kata depan ""bagi,"" yang tidak sesuai dengan aturan tata bahasa."
"Polisi menduga masih banyak korban lain daripada PT NSWM mengingat cabangnya tersebar di ratusan lokasi di seluruh Indonesia.","Polisi menduga masih banyak korban lain dari PT NSWM, mengingat cabangnya tersebar di ratusan lokasi di seluruh Indonesia.","Sintaksis (Kata Hubung)","Kata perangkai ""daripada"" salah digunakan; ""daripada"" berfungsi untuk perbandingan, sedangkan yang diperlukan adalah ""dari."""
"Diketahui bahwa narasi dalam video viral itu dinarasikan bahwa penutupan patung karena ada desakan dari ormas. Polsek Lendah dalam narasinya menjelaskan bahwa ada ormas yang merasa bahwa keberadaan patung dapat mengganggu kekhusyukan umat muslim yang sedang menjalani ibadah puasa Ramadan.","Dalam video viral itu, dinarasikan bahwa penutupan patung karena ada desakan dari ormas. Polsek Lendah menjelaskan bahwa keberadaan patung dapat mengganggu kekhusyukan umat Muslim yang sedang berpuasa Ramadan.","Sintaksis (Struktur Kalimat)","Kalimat terlalu bertele-tele dengan pengulangan kata ""narasi"" dan ""bahwa"" yang mubazir, serta struktur kalimat kurang efisien."
"Lokasi mobil-mobil yang parkir berjejer di jalur sepeda ini ada di depan Kantor Sekretariat ASEAN, Jl Sisingamangaraja, Kebayoran Baru, Jakarta Selatan, terpantau masih parkir hingga Senin (8/5/2023) pukul 15.00 WIB sore hari.","Mobil-mobil yang parkir berjejer di jalur sepeda yang ada di depan Kantor Sekretariat ASEAN, Jl Sisingamangaraja, Kebayoran Baru, Jakarta Selatan, terpantau hingga Senin (8/5/2023) pukul 15.00 WIB.","Sintaksis (Struktur Kalimat)","Kalimat memiliki dua kata kerja utama ""ada"" dan ""terpantau,"" sehingga logika kalimat menjadi tidak jelas."
"Seiring berjalannya waktu, Jansen melihat Bawaslu justru yang bisa melanggar karena pernyataan yang potensi polemik.","Seiring berjalannya waktu, Jansen melihat Bawaslu justru yang bisa melanggar karena pernyataan yang berpotensi polemik.","Morfologi (Afiksasi)","Kata ""potensi"" kehilangan afiksasi, yaitu prefiks ""ber-"" yang membuat makna kalimat tidak sesuai konteks."
"Karyoto menghimbau agar para petugas yang berjaga untuk tidak membawa senjata api.","Karyoto mengimbau agar para petugas yang berjaga tidak membawa senjata api.","Semantik (Pleonasme)","Penulisan ""menghimbau"" tidak baku (→ mengimbau). Selain itu, terdapat penggunaan kata yang berlebihan. Kata ""agar"" sudah berfungsi sebagai konjungsi yang menyatakan tujuan, sehingga tidak perlu ditambahkan kata ""untuk""."
"Polisi masih menyelidiki kasus kecelakaan melibatkan anak pasangan artis Ira Riswana dan Kombes Abu Bakar Turtesi, Maulana Malik Ibrahim (18) yang menewaskan M Syamil (18) di Pasar Minggu, Jakarta Selatan.","Polisi masih menyelidiki kasus kecelakaan yang melibatkan anak pasangan artis Ira Riswana dan Kombes Abu Bakar Turtesi, Maulana Malik Ibrahim (18), yang menewaskan M Syamil (18) di Pasar Minggu, Jakarta Selatan.","Sintaksis (Struktur Kalimat), Semantik (Ambiguitas).","Penghilangan kata ""yang"" membuat kalimat menjadi ambigu dan sulit dipahami."
"Firli menerangkan penerapan pasal TPPU kepada tersangka korupsi dapat meningkatkan asset recovery dan pendapatan keuangan negara.","Firli menerangkan bahwa penerapan pasal TPPU kepada tersangka korupsi dapat meningkatkan asset recovery dan pendapatan keuangan negara.","Sintaksis (Kata Hubung), Fonologi (Penggunaan Huruf)","Penghilangan konjungsi ""bahwa"" menyebabkan klausa subordinatif menjadi tidak jelas hubungannya dengan klausa utama. Selain itu, penulisan ""asset recovery"" dapat ditulis miring karena merupakan istilah asing, atau gunakan padanan bahasa Indonesia yang tepat, yaitu ""pemulihan aset""."
"Yang saya hormati kepala urusan, kepela seksi...","Yang saya hormati kepala urusan, kepala seksi...","Fonologi (Perubahan Fonem)","Terdapat perubahan vokal /a/ menjadi vokal /e/ pada kata ""kepela"", kata yang tepat adalah ""kepala""."
"Beserta hadirin sekalian yang berbahagi.","Beserta hadirin sekalian yang berbahagia.","Fonologi (Penghilangan Fonem)","Kata ""berbahagi"" kehilangan vokal /a/ dan seharusnya ditulis ""berbahagia""."
"Selanjutnya saya selaku kepala desa tdi Desa Manang","Selanjutnya saya selaku kepala desa tadi Desa Manang","Fonologi (Penghilangan Fonem)","Kata ""tdi"" kehilangan vokal /a/ sehingga seharusnya ""tadi""."
"maha kuasa","Mahakuasa","Morfologi (Afiksasi)","Kata ""maha"" sebagai bentuk terikat harus digabung dengan kata yang mengikutinya tanpa spasi. Dalam bahasa Indonesia, kata ""maha"" yang berfungsi sebagai prefiks harus melekat langsung pada kata dasarnya jika bukan merupakan nama Tuhan. Contoh: Mahakuasa, Mahasuci, Mahabesar, tetapi terdapat pengecualian untuk kata ""esa"" tidak ditulis serangkai."
"TV analog dan sett top box","TV analog dan set top box","Fonologi (Penambahan Fonem, Huruf Miring)","Terdapat penambahan fonem /t/ pada kata ""sett"" yang seharusnya ""set"". Kata asing ""set top box"" seharusnya dicetak miring sesuai aturan penggunaan istilah asing dalam PUEBI."
"Yang terhormat Camat Kecamatan Grogol...","Yang terhormat Camat Grogol...","Semantik (Pleonasme)","Pengulangan kata ""Camat Kecamatan"" tidak perlu dan menyebabkan kalimat mubazir."
"Mengucapkan banyak terima kasih","Mengucapkan terima kasih","Sintaksis (Kesalahan Frasa), Semantik (Pleonasme)","Frasa ""banyak terima kasih"" merupakan penggunaan kata yang mubazir dan cukup ditulis ""terima kasih""."
"Atas dukungan atas keridhoannya","Atas dukungan dan keridhoannya","Semantik (Pleonasme)","Penggunaan dua kata ""atas"" secara berurutan tidak perlu dan mengganggu alur kalimat."
"Tindak lanjuti","Tindak lanjut","Fonologi (Penambahan Fonem)","Terdapat penambahan fonem /i/ pada kata ""lanjut"" menjadi ""lanjuti"". Frasa ""tindak lanjuti"" merupakan bentuk tidak baku dan seharusnya ditulis ""tindak lanjut""."
"Nah, padahal kegiatan ronda tersebut...","Padahal kegiatan ronda tersebut...","Sintaksis (Struktur Kalimat)","Kata ""Nah,"" tidak relevan dalam kalimat formal sehingga dapat dihilangkan untuk meningkatkan formalitas."
"Aktifitas ini telah menjangkau 686 petani yang tergabung dalam 14 kelompok tani.","Aktivitas ini telah menjangkau 686 petani yang tergabung dalam 14 kelompok tani.","Fonologi (Perubahan Fonem)","Terdapat perubahan fonem /v/ menkadi ""f"" pada kata ""aktivitas"". Kata ""aktifitas"" tidak sesuai kaidah penyerapan bahasa Indonesia; yang benar adalah ""aktivitas."""
"... sebanyak 21 jenis ekstra kurikuler.","... sebanyak 21 jenis ekstrakurikuler.","Morfologi (Pembentukan Kata)","Terjadi kesalahan dalam pembentukan kata yang sesuai dengan ejaan baku. Penulisan ""ekstra kurikuler"" salah; seharusnya menjadi ""ekstrakurikuler"" sebagai satu kata utuh."
"Pasien tidak perlu antri di depan apotik.","Pasien tidak perlu antre di depan apotek.","Fonologi (Perubahan Fonem)","Terdapat perubahan vokal /e/ menjadi /i/ pada kata ""antri"" dan ""apotik"". Kata yang tepat adalah ""antre"" dan ""apotek"" sesuai KBBI."
"Di Ghra Bung Karno (GBK) Klaten.","Di Graha Bung Karno (GBK) Klaten.","Fonologi (Penghilangan Fonem)","Kata ""Grha"" kehilangan vokal /a/ dan seharusnya ditulis ""Graha""."
"Karena yang lainnya sudah terpihaki dari pihak-pihak yang lain.","Karena yang lainnya sudah berpihak pada pihak lain.","Sintaksis (Struktur Kalimat), Semantik (Pleonasme)","Kata ""terpihaki"" tidak tepat; seharusnya ""berpihak,"" dan penggunaan kata ""pihak-pihak"" redundan."
"Pada awal-awalnya sangat alot.","Pada awalnya sangat sulit.","Semantik (Pleonasme, Diksi)","Kata ""awal-awalnya"" tidak sesuai dengan kaidah bahasa Indonesia, cukup gunakan ""pada awalnya"", karena kata ""awal"" sudah menunjukkan permulaan, sehingga tidak perlu ada pengulangan (redundansi). Selain kata awal-awalnya, kata ""alot"" juga tidak tepat untuk menggambarkan situasi; seharusnya ""sulit."""
"... membagikan flyer berisikan pesan keselamatan di perlintasan sebidang.","... membagikan pamflet berisi pesan keselamatan di perlintasan sebidang.","Morfologi (Penulisan Kata)","Kata ""flyer"" sebaiknya diganti dengan ""selebaran"" atau ""pamflet"" sebagai padanan dalam bahasa Indonesia."
"... meningkatkan awareness terhadap keselamatan di perlintasan sebidang.","... meningkatkan kesadaran terhadap keselamatan di perlintasan sebidang.","Morfologi (Penulisan Kata)","Kata ""awareness"" tidak diterjemahkan; seharusnya menggunakan padanan ""kesadaran"" dalam bahasa Indonesia."
"... moment tersebut.","... momen tersebut.","Morfologi (Penulisan Kata)","Kata ""moment"" tidak sesuai dengan ejaan bahasa Indonesia; seharusnya ""momen""."
"Sementara itu Ketua panitia soft launching Poliklinik Eksekutif Tirta Cendana...","Sementara itu, Ketua panitia peresmian Poliklinik Eksekutif Tirta Cendana...","Morfologi (Penulisan Kata)","Frasa ""soft launching"" lebih baik diganti dengan ""peresmian"" agar sesuai dengan bahasa Indonesia."
"Ketiak menyampaikan pesan dapat melalui berbagai bentuk.","Ketika menyampaikan pesan, dapat melalui berbagai bentuk.","Fonologi (Perubahan Fonem)","Kata ""ketiak"" salah eja, seharusnya ""ketika."""
"Berbagai lambang tersebut bisa berwujud satuan-satuan dari bahasa yang berupa wacana, kalimat, klausa, frase, kata, dan morfen.","Berbagai lambang tersebut bisa berwujud satuan-satuan dari bahasa yang berupa wacana, kalimat, klausa, frasa, kata, dan morfem.","Fonologi (Perubahan Fonem)","Kata ""frase"" dan ""morfen"" salah, seharusnya ""frasa"" dan ""morfem"" sesuai aturan bahasa Indonesia."
"Pada tahap mempelajari bahasa dengan mengikuti panduan guru.","Pada tahap awal mempelajari bahasa dengan mengikuti panduan guru.","Sintaksis (Struktur Kalimat)","Kalimat tidak memiliki subjek yang jelas sehingga terasa tidak lengkap."
"Peneliti selanjutnya melakukan analisis dari data yang ditemukan berdasarkan analisis makna leksikal, sinonimi, dan antonimi pada kata teknis tersebut.","Peneliti selanjutnya melakukan analisis dari data yang ditemukan berdasarkan analisis makna leksikal, sinonim, dan antonim pada kata teknis tersebut.","Fonologi (Perubahan Fonem)","Istilah ""sinonimi"" dan ""antonimi"" tidak konsisten dengan bentuk baku ""sinonim"" dan ""antonim."""
"Teks laporan hasil pengamatan memiliki kosa kata umum dan kata teknis.","Teks laporan hasil pengamatan memiliki kosakata umum dan kata teknis.","Morfologi (Pembentukan Kata)","Terjadi kesalahan dalam pembentukan kata sesuai ejaan yang benar menurut KBBI. Penulisan ""kosa kata"" harus disatukan menjadi ""kosakata"" sesuai kaidah bahasa Indonesia."
"Hal ini dikarenakan bahasa bersifat ambigu.","Hal ini karena bahasa bersifat ambigu.","Sintaksis (Struktur Kalimat)","Frasa ""dikarenakan"" seharusnya diganti dengan ""karena"" untuk efektivitas kalimat."
"Sebuah buku teks yang diberikan kepada peserta didik, hendaknya terlebih dahulu dianalisis dari aspek ruang lingkup materi pelajarannya.","Sebuah buku teks yang diberikan kepada peserta didik hendaknya dianalisis terlebih dahulu dari aspek ruang lingkup materi pelajarannya.","Sintaksis (Struktur Kalimat, Urutan Kata)","Dalam kalimat ""hendaknya terlebih dahulu dianalisis"" terdapat kesalahan dalam urutan kata yang membuat kalimat menjadi kurang efektif. Tanda koma setelah subjek tidak diperlukan karena menyebabkan kalimat menjadi terpotong."
"Dengan menempati lahan seluas 30 hektare, KBR di resmikan oleh Gubernur DKI Jakarta.","Dengan menempati lahan seluas 30 hektare, KBR diresmikan oleh Gubernur DKI Jakarta.","Morfologi (Afiksasi, Pembentukan Kata)","Kata ""diresmikan"" terbentuk dari kata dasar ""resmi"" yang diberi konfiks ""di-...-kan"", sehingga penulisannya digabung."
"Kumis kucing dapat membantu mengobati reumatik, asam urat, dan elergi.","Kumis kucing dapat membantu mengobati reumatik, asam urat, dan alergi.","Fonologi (Perubahan Fonem)","Terdapat perubahan fonem /a/ menjadi /e/, kata yang tepat adalah ""alergi""."
"Mahasiswa mampu menkritisi gejala-gejala dalam berbahasa.","Mahasiswa mampu mengkritisi gejala-gejala dalam berbahasa.","Morfologi (Afiksasi, Pembentukan Kata)","Kata ""mengkritisi"" terbentuk dari kata turunan ""kritisi"" yang diberi prefiks ""me-"". Jika kata dasar memiliki awalan dua huruf konsonan (termasuk ""kr"" pada kata ""kritisi""), maka imbuhan ""me-"" berubah menjadi ""meng-""."
"Berdasarkan bagan di atas diketahui skor maksimal diperoleh 75, dan skor minimal adalah 61.","Berdasarkan bagan di atas, skor maksimal adalah 75 dan skor minimal adalah 61.","Semantik (Pleonasme)","Kata ''diketahui'' dihilangkan karena tidak diperlukan. Kata ''diperoleh'' diganti dengan ''adalah'' agar lebih sesuai dengan konteks. Tanda koma digunakan setelah ''Berdasarkan bagan di atas'' untuk memisahkan keterangan awal dari klausa utama."
"Pada penelitian ini, peneliti menggunakan teknik pengumpulan data berupa wawancara dan angket.","Dalam penelitian ini, peneliti menggunakan teknik pengumpulan data berupa wawancara dan angket.","Sintaksis (Kata Depan)","Kata ""pada"" tidak sesuai konteks sebagai pengantar kalimat formal; lebih baik menggunakan ""dalam""."
"Materi tersebut dapat berupa teori, konsep, atau informasi terbaru dalam bidang ilmu yang diajarkan.","Materi tersebut dapat berupa teori, konsep, atau informasi terkini dalam bidang ilmu yang diajarkan.","Semantik (Diksi)","Kata ""terbaru"" lebih tepat diganti dengan ""terkini"" untuk kesesuaian dengan konteks formal."
"Mahasiswa memberikan umpan balik terhadap penggunaan bahan ajar kepada dosen, yang dapat membantu dosen memahami kebutuhan dan preferensi mahasiswa dan membuat perbaikan yang sesuai.","Mahasiswa memberikan umpan balik terhadap penggunaan bahan ajar kepada dosen untuk membantu dosen memahami kebutuhan dan preferensi mahasiswa serta membuat perbaikan yang sesuai.","Sintaksis (Struktur Kalimat, Kata Hubung)","Struktur kalimat terlalu panjang dan berulang; perlu disusun ulang untuk lebih efektif. Kalimat ""yang dapat membantu dosen"" dapat diubah menjadi ""untuk membantu dosen"" agar kalimat menjadi lebih jelas dan langsung pada inti maksudnya."
"Dalam lingkungan pembelajaran yang lebih modern, teknologi juga dapat digunakan untuk memfasilitasi interaksi dan penyampaian materi dalam proses pembelajaran.","Dalam pembelajaran modern, teknologi dapat digunakan untuk memfasilitasi interaksi dan penyampaian materi pembelajaran.","Sintaksis (Struktur Kalimat)","Kalimat terlalu panjang dengan kata-kata berulang; dipadatkan agar lebih ringkas tanpa kehilangan makna."
"Respon mahasiswa terhadap bahan ajar sangat antusias.","Respons mahasiswa terhadap bahan ajar sangat antusias.","Fonologi (Penghilangan Fonem)","Kata ""Respon"" kehilangan fonem /s/, seharusnya ""Respons""."
"Mahasiswa dapat merujuk ke bahan ajar ini untuk mempelajari konsep-konsep baru, mengulang materi, atau merespons pertanyaan yang muncul saat mereka belajar.","Mahasiswa dapat merujuk ke bahan ajar ini untuk mempelajari konsep-konsep baru, mengulang materi, atau menjawab pertanyaan yang muncul saat mereka belajar.","Sintaksis (Struktur Kalimat)","Kata ""merespons"" kurang tepat dalam konteks ini; seharusnya ""menjawab""."
"Dengan demikian sebagai orang bahasa terutama bahasa Indonesia, diharapkan mahasiswa mampu menkritisi gejala-gejala dalam berbahasa.","Dengan demikian, sebagai pengguna bahasa Indonesia, diharapkan mahasiswa mampu mengkritisi gejala-gejala dalam berbahasa.","Sintaksis (Struktur Kalimat), Semantik (Diksi)","Penggunaan ""orang bahasa"" tidak sesuai konteks formal; perlu diganti dengan ""pengguna bahasa""."
"Kurangnya pemahaman terhadap Pedoman Umum Ejaan Bahasa Indonesia","Kurangnya pemahaman terhadap Pedoman Umum Ejaan Bahasa Indonesia","Fonologi (Penggunaan Huruf)","Judul buku atau dokumen resmi seperti Pedoman Umum Ejaan Bahasa Indonesia seharusnya ditulis miring sesuai aturan PUEBI."
"metode pengembangan aplikasi pemeriksa kesalahan berbahasa","metode pengembangan aplikasi pemeriksa kesalahan berbahasa.","Sintaksis (Tanda Baca)","Kalimat tidak diakhiri dengan tanda titik, sehingga tidak memenuhi kaidah tanda baca yang benar."
"Tampilan aplikasi ini menarik, mudah digunakan","Tampilan aplikasi ini menarik dan mudah digunakan","Sintaksis (Kata Hubung)","Penggunaan tanda koma di antara frasa tanpa kata penghubung membuat kalimat menjadi kurang jelas."
"Berdasarkan hasil tes, ditemukan banyk kesalahan","Berdasarkan hasil tes, ditemukan banyak kesalahan","Fonologi (Penghilangan Fonem)","Kata ""banyk"" kehilangan fonem /a/; seharusnya ""banyak""."
"Nasehat yang diberikan sangat bermanfaat","Nasihat yang diberikan sangat bermanfaat","Fonologi (Perubahan Fonem)","Terjadi perubahan fonem /i/ menjadi /e/ pada kata ""nasihat"". Kata ""nasehat"" tidak baku; seharusnya ""nasihat"" sesuai KBBI."
"selalu menyimpan kebaikan dihati","selalu menyimpan kebaikan di hati","Sintaksis (Kata Depan)","Kata ""dihati"" salah karena partikel ""di"" harus dipisah dengan kata benda."
"Metode penelitian yang digunakan adalah Research and Development (R&D)","Metode penelitian yang digunakan adalah Research and Development (R&D)","Morfologi (Penulisan Kata)","""Research and Development"" harus ditulis dalam huruf miring karena merupakan istilah asing."
"Pilihan lain dapat ditulis menggunakan padanan bahasa Indonesia"," yaitu """"Penelitian dan Pengembangan"""".""","",""
"Penelitian ini bertujuan mengungkapkan kekeliruan makna yang terdapat pada teks terjemahan siswa.","Penelitian ini bertujuan untuk mengungkapkan kekeliruan makna yang terdapat pada teks terjemahan siswa.","Sintaksis (Struktur Kalimat)","Penghilangan kata ""untuk"" membuat kalimat kurang formal dan kurang jelas."
"Dalam kajian semantik dikenal istilah kekeliruan makna yang sering terjadi pada penerjemahan.","Dalam kajian semantik, dikenal istilah kekeliruan makna yang sering terjadi pada penerjemahan.","Sintaksis (Tanda Baca)","Tanda koma setelah ""semantik"" diperlukan untuk memisahkan frasa pembuka dari inti kalimat."
